; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540156680,"CurrentTimeLocal","Sun Oct 21 14:18:00 2018","Hostname","nid02171","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.3e-05
; "Time_ContextDestroy [ms]", 6.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,7,0,"Success",0.000167,0.00157,0.000715,3.6e-05,9.1e-05,0.000118,2.6e-05,0.000807,0.0037,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,8,0,"Success",0.000146,0.001525,0.00078,3.3e-05,9.4e-05,0.000117,2.6e-05,0.000794,0.003696,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,9,0,"Success",0.000153,0.001539,0.000712,3.5e-05,9e-05,0.000118,2.8e-05,0.000791,0.003634,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,10,0,"Success",0.000134,0.00158,0.00072,3.5e-05,9.1e-05,0.000118,1.9e-05,0.000782,0.003668,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,11,0,"Success",0.000153,0.001561,0.000737,3.4e-05,8.9e-05,0.000115,2.7e-05,0.000813,0.003707,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,0,1,"Warmup",0.000327,0.002584,0.002765,0.000116,0.00022,0.000267,4.4e-05,0.001025,0.007571,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,1,1,"Warmup",0.000165,0.001827,0.000684,7.1e-05,0.000114,0.000152,3.7e-05,0.00091,0.004133,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,2,1,"Success",0.000198,0.001719,0.000684,5.1e-05,9.9e-05,0.000129,2e-05,0.000855,0.003973,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,3,1,"Success",0.000194,0.001662,0.000685,5.2e-05,0.000108,0.000128,3.2e-05,0.000862,0.00393,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,4,1,"Success",0.000163,0.00168,0.000731,3.5e-05,0.00011,0.000146,3.2e-05,0.000832,0.00391,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,5,1,"Success",0.000167,0.001683,0.000696,3.6e-05,9.6e-05,0.000135,2.2e-05,0.00083,0.003876,80,0,64,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8,0,0,6,1,"Success",0.00016,0.001671,0.000703,3.5e-05,0.00011,0.000133,2.1e-05,0.000838,0.003852,80,0,64,0,0
