; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065374720,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540697996,"CurrentTimeLocal","Sat Oct 27 20:39:56 2018","Hostname","nid01146","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 0.000147
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,9,2,"Success",0.003832,29.505569,32.699752,0.160851,0.894144,0.663596,0.257626,1.220474,65.40652,2097144,0,2097144,7.5329534447e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,10,2,"Success",0.003921,29.108696,32.773912,0.162296,0.900948,0.663115,0.258261,1.205614,65.077573,2097144,0,2097144,7.5329534447e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,11,2,"Success",0.005057,29.281421,33.065116,0.161131,0.878257,0.681167,0.257293,1.214914,65.545255,2097144,0,2097144,7.5329534447e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,0,0,"Warmup",0.00605,17.88431,17.766599,0.018642,0.376705,0.10669,0.030126,0.559654,36.749429,215760,0,215760,6.5319842806e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,1,0,"Warmup",0.0056,18.083943,17.855769,0.018679,0.904026,0.104826,0.030487,0.54056,37.54449,215760,0,215760,6.5319842806e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,2,0,"Success",0.00584,18.049687,17.731014,0.018187,0.334843,0.102561,0.029656,0.543095,36.815636,215760,0,215760,6.5319842806e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,3,0,"Success",0.005833,17.916847,17.596319,0.018465,0.336933,0.12392,0.02963,0.551084,36.579616,215760,0,215760,6.5319842806e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,4,0,"Success",0.00568,18.010592,17.726167,0.018361,0.333705,0.103191,0.029325,0.546278,36.774136,215760,0,215760,6.5319842806e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,5,0,"Success",0.005833,17.940729,17.60088,0.018186,0.328614,0.176997,0.030039,0.548634,36.65075,215760,0,215760,6.5319842806e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,6,0,"Success",0.005617,18.023635,17.806841,0.019837,0.340457,0.102774,0.029869,0.547413,36.877017,215760,0,215760,6.5319842806e-08,0
